CustomerID,Gender,CityTier,MaritalStatus,NumberOfAddress
50281,Male,1,Divorced,6
50282,Male,1,Divorced,3
50283,Male,1,Divorced,4
50284,Female,1,Divorced,3
50285,Female,1,Married,3
50286,Female,1,Single,3
50287,Female,1,Divorced,6
50288,Female,1,Married,3
50289,Female,1,Divorced,1
50290,Female,3,Single,2
50291,Female,3,Married,1
50292,Male,1,Divorced,2
50293,Female,3,Divorced,1
50294,Female,1,Married,2
50295,Male,1,Divorced,5
50296,Male,1,Divorced,2
50297,Female,1,Divorced,6
50298,Male,2,Single,2
50299,Female,3,Divorced,1
50300,Male,3,Married,4
50301,Male,1,Divorced,1
50302,Female,1,Single,1
50303,Female,3,Divorced,5
50304,Female,1,Married,6
50305,Male,1,Divorced,7
50306,Male,1,Single,1
50307,Female,1,Single,8
50308,Male,1,Married,4
50309,Female,3,Divorced,3
50310,Male,1,Married,2
50311,Male,1,Divorced,8
50312,Male,1,Married,8
50313,Male,3,Single,1
50314,Male,1,Divorced,5
50315,Male,1,Divorced,4
50316,Female,2,Married,10
50317,Male,1,Divorced,5
50318,Male,3,Single,2
50319,Male,1,Single,6
50320,Female,3,Divorced,3
50321,Female,3,Single,4
50322,Male,3,Single,8
50323,Male,3,Divorced,10
50324,Female,1,Single,8
50325,Female,1,Divorced,2
50326,Male,3,Single,5
50327,Male,1,Divorced,2
50328,Male,3,Divorced,1
50329,Female,2,Married,1
50330,Male,1,Married,5
50331,Female,1,Married,5
50332,Male,3,Married,10
50333,Male,3,Single,2
50334,Male,3,Married,4
50335,Female,1,Single,3
50336,Male,3,Married,6
50337,Female,3,Single,2
50338,Male,3,Single,2
50339,Male,1,Single,2
50340,Female,1,Single,5
50341,Female,1,Divorced,6
50342,Female,3,Divorced,8
50343,Male,3,Married,2
50344,Male,1,Married,4
50345,Male,3,Divorced,9
50346,Male,3,Divorced,1
50347,Female,1,Divorced,4
50348,Female,1,Divorced,7
50349,Male,1,Married,2
50350,Male,1,Divorced,2
50351,Male,3,Divorced,2
50352,Male,1,Divorced,2
50353,Male,2,Divorced,2
50354,Male,3,Divorced,2
50355,Female,1,Divorced,2
50356,Male,3,Divorced,2
50357,Male,1,Divorced,2
50358,Male,3,Married,3
50359,Male,1,Single,5
50360,Male,3,Married,5
50361,Female,1,Married,1
50362,Male,3,Divorced,5
50363,Female,1,Single,2
50364,Female,1,Divorced,2
50365,Male,1,Married,5
50366,Female,1,Single,4
50367,Male,1,Married,4
50368,Female,1,Divorced,8
50369,Female,2,Single,5
50370,Female,3,Married,2
50371,Male,3,Married,1
50372,Male,3,Single,2
50373,Male,1,Divorced,5
50374,Male,1,Divorced,1
50375,Male,3,Married,1
50376,Female,1,Divorced,2
50377,Female,1,Married,2
50378,Female,3,Single,8
50379,Male,1,Divorced,2
50380,Female,3,Divorced,3
50381,Female,1,Divorced,2
50382,Male,1,Divorced,2
50383,Female,3,Divorced,2
50384,Male,1,Single,2
50385,Male,1,Married,4
50386,Male,2,Divorced,3
50387,Male,1,Married,3
50388,Male,1,Single,1
50389,Male,1,Single,2
50390,Male,1,Single,2
50391,Male,1,Divorced,2
50392,Male,1,Divorced,3
50393,Male,3,Divorced,1
50394,Female,3,Single,1
50395,Male,1,Married,2
50396,Male,3,Divorced,4
50397,Female,3,Married,2
50398,Male,1,Single,4
50399,Male,1,Divorced,2
50400,Female,1,Single,2
50401,Female,3,Single,10
50402,Female,1,Single,2
50403,Male,3,Single,2
50404,Male,3,Divorced,4
50405,Female,1,Single,1
50406,Female,1,Divorced,2
50407,Female,1,Single,4
50408,Male,3,Single,3
50409,Male,3,Divorced,6
50410,Male,1,Divorced,4
50411,Male,2,Married,4
50412,Male,3,Single,9
50413,Male,1,Married,2
50414,Male,2,Divorced,2
50415,Male,3,Divorced,8
50416,Female,1,Single,8
50417,Female,1,Divorced,10
50418,Female,1,Single,5
50419,Male,1,Single,3
50420,Female,3,Married,10
50421,Male,3,Married,8
50422,Male,3,Single,2
50423,Male,1,Married,7
50424,Male,3,Divorced,4
50425,Female,1,Single,4
50426,Male,1,Divorced,2
50427,Female,2,Divorced,10
50428,Male,1,Divorced,8
50429,Female,1,Single,1
50430,Female,1,Single,9
50431,Male,3,Married,2
50432,Male,1,Single,3
50433,Female,1,Married,3
50434,Male,1,Divorced,2
50435,Male,1,Divorced,7
50436,Female,1,Married,4
50437,Male,3,Divorced,2
50438,Male,1,Single,2
50439,Female,3,Single,2
50440,Male,3,Single,1
50441,Male,1,Single,2
50442,Female,3,Single,5
50443,Male,3,Single,2
50444,Male,1,Divorced,6
50445,Male,3,Single,2
50446,Male,1,Divorced,1
50447,Female,1,Married,4
50448,Female,1,Divorced,5
50449,Male,3,Single,7
50450,Female,1,Single,3
50451,Female,1,Married,10
50452,Male,3,Divorced,1
50453,Female,1,Married,1
50454,Female,1,Single,7
50455,Female,1,Single,2
50456,Female,3,Divorced,2
50457,Male,1,Divorced,4
50458,Female,1,Divorced,2
50459,Female,3,Divorced,6
50460,Male,1,Married,2
50461,Male,1,Divorced,2
50462,Male,1,Married,2
50463,Female,1,Divorced,9
50464,Male,1,Divorced,6
50465,Female,1,Divorced,2
50466,Male,1,Divorced,1
50467,Female,3,Single,6
50468,Female,1,Divorced,2
50469,Female,1,Divorced,1
50470,Male,1,Divorced,2
50471,Male,1,Single,8
50472,Female,1,Single,4
50473,Female,1,Divorced,10
50474,Male,1,Single,7
50475,Male,2,Divorced,4
50476,Female,1,Divorced,2
50477,Male,1,Single,7
50478,Female,1,Single,6
50479,Female,1,Single,2
50480,Male,1,Divorced,2
50481,Male,1,Married,3
50482,Female,1,Single,2
50483,Female,3,Divorced,2
50484,Male,3,Single,5
50485,Male,1,Divorced,7
50486,Male,1,Married,2
50487,Male,1,Single,4
50488,Female,3,Divorced,2
50489,Male,2,Divorced,1
50490,Female,1,Divorced,2
50491,Male,1,Divorced,2
50492,Female,3,Divorced,3
50493,Male,1,Single,10
50494,Male,1,Single,8
50495,Male,3,Married,2
50496,Female,1,Single,2
50497,Male,3,Divorced,2
50498,Male,3,Married,3
50499,Male,1,Married,10
50500,Female,3,Divorced,8
50501,Male,3,Married,5
50502,Female,1,Divorced,6
50503,Female,1,Divorced,4
50504,Male,3,Married,5
50505,Male,2,Married,2
50506,Male,1,Divorced,7
50507,Male,1,Divorced,3
50508,Male,1,Single,6
50509,Male,2,Divorced,1
50510,Male,3,Divorced,2
50511,Female,1,Divorced,2
50512,Female,1,Married,2
50513,Male,1,Married,1
50514,Male,3,Divorced,2
50515,Female,1,Divorced,3
50516,Male,1,Divorced,1
50517,Male,3,Divorced,2
50518,Male,3,Divorced,1
50519,Female,1,Divorced,3
50520,Male,1,Divorced,4
50521,Female,3,Married,7
50522,Male,3,Divorced,6
50523,Male,1,Divorced,4
50524,Female,3,Divorced,6
50525,Female,1,Single,7
50526,Female,1,Divorced,5
50527,Female,3,Divorced,1
50528,Male,3,Single,2
50529,Male,1,Married,2
50530,Female,2,Divorced,9
50531,Male,2,Married,4
50532,Male,1,Single,2
50533,Female,1,Married,7
50534,Male,1,Divorced,2
50535,Male,3,Single,2
50536,Male,1,Married,10
50537,Female,1,Married,5
50538,Female,3,Single,2
50539,Female,1,Single,2
50540,Male,1,Divorced,1
50541,Female,3,Single,2
50542,Female,1,Divorced,1
50543,Female,1,Married,5
50544,Female,1,Married,6
50545,Male,1,Divorced,8
50546,Female,1,Single,2
50547,Male,1,Married,2
50548,Female,3,Single,8
50549,Male,1,Single,4
50550,Female,1,Married,3
50551,Male,3,Divorced,4
50552,Female,1,Divorced,2
50553,Female,1,Divorced,5
50554,Male,1,Divorced,5
50555,Female,3,Divorced,2
50556,Male,1,Single,3
50557,Female,1,Divorced,2
50558,Female,1,Divorced,7
50559,Male,3,Divorced,2
50560,Male,3,Married,3
50561,Male,3,Single,2
50562,Male,1,Single,3
50563,Male,1,Single,5
50564,Male,3,Single,2
50565,Male,1,Single,2
50566,Female,1,Divorced,1
50567,Male,1,Married,9
50568,Female,1,Divorced,2
50569,Male,3,Divorced,2
50570,Female,1,Single,1
50571,Male,3,Divorced,6
50572,Male,1,Divorced,2
50573,Female,3,Divorced,2
50574,Female,3,Divorced,2
50575,Male,1,Divorced,3
50576,Male,1,Single,5
50577,Male,3,Married,7
50578,Male,3,Married,6
50579,Female,3,Single,2
50580,Male,3,Married,7
50581,Male,3,Single,1
50582,Female,3,Single,5
50583,Male,1,Married,2
50584,Male,3,Married,5
50585,Male,1,Single,1
50586,Male,3,Single,2
50587,Female,1,Single,7
50588,Female,1,Single,4
50589,Female,1,Married,4
50590,Male,1,Married,10
50591,Female,1,Divorced,2
50592,Male,1,Married,3
50593,Female,1,Divorced,10
50594,Male,1,Divorced,2
50595,Female,3,Single,2
50596,Female,1,Divorced,5
50597,Male,1,Divorced,4
50598,Male,1,Divorced,1
50599,Male,1,Married,7
50600,Female,1,Married,2
50601,Male,1,Married,2
50602,Female,1,Divorced,2
50603,Male,1,Single,2
50604,Female,1,Divorced,9
50605,Female,1,Married,2
50606,Female,1,Divorced,1
50607,Female,1,Single,2
50608,Female,1,Single,1
50609,Male,1,Divorced,2
50610,Male,1,Divorced,2
50611,Male,1,Single,3
50612,Male,1,Single,8
50613,Female,1,Single,7
50614,Female,1,Divorced,2
50615,Female,1,Divorced,1
50616,Male,1,Married,2
50617,Male,3,Divorced,7
50618,Male,1,Divorced,5
50619,Female,1,Single,4
50620,Female,1,Divorced,6
50621,Male,1,Divorced,4
50622,Female,1,Married,2
50623,Male,3,Single,9
50624,Male,3,Single,9
50625,Female,3,Divorced,2
50626,Female,3,Divorced,4
50627,Female,3,Divorced,1
50628,Female,1,Single,2
50629,Female,1,Single,2
50630,Female,3,Single,1
50631,Female,3,Divorced,4
50632,Female,1,Single,10
50633,Male,3,Married,1
50634,Male,3,Divorced,4
50635,Male,2,Single,2
50636,Female,3,Divorced,3
50637,Male,1,Married,8
50638,Male,1,Divorced,7
50639,Female,3,Divorced,2
50640,Male,3,Divorced,2
50641,Male,1,Divorced,4
50642,Male,1,Divorced,3
50643,Female,1,Single,4
50644,Male,3,Divorced,2
50645,Female,1,Married,2
50646,Male,1,Married,10
50647,Female,3,Divorced,7
50648,Female,1,Divorced,3
50649,Female,1,Single,1
50650,Male,1,Single,8
50651,Male,3,Married,6
50652,Female,3,Single,2
50653,Female,1,Single,2
50654,Female,1,Married,9
50655,Male,1,Divorced,10
50656,Male,1,Single,2
50657,Male,1,Divorced,2
50658,Male,1,Divorced,1
50659,Female,1,Divorced,2
50660,Female,1,Divorced,1
50661,Male,1,Divorced,5
50662,Male,1,Divorced,2
50663,Male,1,Divorced,4
50664,Female,1,Single,4
50665,Male,2,Divorced,10
50666,Male,1,Married,5
50667,Male,3,Single,1
50668,Female,1,Single,2
50669,Male,1,Married,2
50670,Male,1,Single,1
50671,Female,3,Married,3
50672,Male,1,Divorced,2
50673,Male,1,Married,2
50674,Male,1,Single,5
50675,Male,1,Divorced,1
50676,Male,1,Married,2
50677,Male,3,Single,4
50678,Female,3,Divorced,1
50679,Male,1,Divorced,4
50680,Male,1,Single,3
50681,Female,3,Divorced,2
50682,Male,1,Single,8
50683,Male,3,Married,1
50684,Female,1,Married,5
50685,Female,1,Married,1
50686,Male,3,Divorced,4
50687,Male,3,Single,8
50688,Female,1,Divorced,9
50689,Male,1,Married,8
50690,Male,1,Single,2
50691,Female,1,Single,2
50692,Male,1,Single,21
50693,Male,1,Single,3
50694,Male,3,Divorced,1
50695,Male,1,Divorced,1
50696,Male,3,Married,2
50697,Male,3,Divorced,7
50698,Male,1,Single,3
50699,Female,1,Married,1
50700,Male,1,Single,5
50701,Male,1,Divorced,2
50702,Male,2,Divorced,2
50703,Male,1,Married,2
50704,Male,1,Single,2
50705,Female,3,Single,1
50706,Male,1,Divorced,4
50707,Male,1,Divorced,2
50708,Female,1,Married,8
50709,Male,1,Divorced,2
50710,Female,3,Divorced,2
50711,Male,2,Single,2
50712,Female,3,Divorced,2
50713,Female,1,Single,10
50714,Male,3,Single,1
50715,Male,3,Single,8
50716,Male,1,Divorced,7
50717,Male,1,Single,9
50718,Female,1,Divorced,2
50719,Male,1,Divorced,2
50720,Male,3,Divorced,2
50721,Female,1,Divorced,4
50722,Male,1,Married,3
50723,Male,1,Single,1
50724,Male,1,Divorced,2
50725,Female,3,Single,9
50726,Female,3,Married,2
50727,Female,1,Married,5
50728,Female,1,Divorced,2
50729,Male,1,Single,2
50730,Female,1,Divorced,5
50731,Female,1,Divorced,2
50732,Male,1,Single,2
50733,Male,1,Single,2
50734,Female,1,Married,4
50735,Female,1,Divorced,1
50736,Male,1,Divorced,1
50737,Female,3,Divorced,9
50738,Male,1,Single,3
50739,Male,2,Divorced,2
50740,Male,1,Married,7
50741,Male,3,Married,9
50742,Male,3,Divorced,6
50743,Female,1,Divorced,3
50744,Male,1,Divorced,2
50745,Male,1,Divorced,6
50746,Male,3,Divorced,4
50747,Female,1,Divorced,2
50748,Female,3,Divorced,2
50749,Male,1,Married,2
50750,Male,1,Married,2
50751,Male,1,Single,2
50752,Male,3,Single,2
50753,Male,1,Married,3
50754,Male,2,Divorced,8
50755,Male,3,Married,1
50756,Female,1,Divorced,2
50757,Female,1,Single,5
50758,Female,1,Married,3
50759,Male,1,Divorced,1
50760,Female,3,Married,8
50761,Male,3,Single,1
50762,Male,1,Divorced,1
50763,Female,1,Divorced,4
50764,Female,3,Divorced,5
50765,Male,1,Divorced,2
50766,Female,1,Married,8
50767,Female,1,Divorced,2
50768,Female,1,Single,2
50769,Female,1,Married,2
50770,Male,1,Divorced,4
50771,Male,1,Divorced,2
50772,Female,1,Single,2
50773,Female,3,Single,6
50774,Male,1,Divorced,4
50775,Male,1,Divorced,3
50776,Male,1,Divorced,2
50777,Male,1,Single,6
50778,Male,1,Married,2
50779,Male,1,Married,2
50780,Male,1,Single,7
50781,Female,1,Married,4
50782,Female,1,Divorced,1
50783,Male,3,Divorced,8
50784,Male,3,Married,1
50785,Female,1,Single,2
50786,Male,1,Divorced,2
50787,Male,3,Single,2
50788,Male,1,Single,2
50789,Female,3,Single,3
50790,Male,1,Married,2
50791,Female,1,Single,2
50792,Female,3,Divorced,3
50793,Female,3,Single,1
50794,Male,3,Married,5
50795,Male,1,Single,7
50796,Female,1,Married,5
50797,Male,1,Single,1
50798,Male,1,Married,2
50799,Male,2,Divorced,5
50800,Male,1,Divorced,1
50801,Female,1,Divorced,7
50802,Female,3,Single,4
50803,Female,1,Single,10
50804,Female,1,Divorced,2
50805,Male,1,Divorced,2
50806,Female,1,Single,1
50807,Female,1,Single,8
50808,Female,1,Married,4
50809,Male,1,Single,3
50810,Female,1,Single,2
50811,Male,3,Divorced,2
50812,Female,1,Single,4
50813,Female,1,Married,7
50814,Male,1,Married,2
50815,Male,1,Divorced,2
50816,Male,1,Single,1
50817,Female,1,Divorced,1
50818,Female,1,Divorced,4
50819,Female,2,Single,7
50820,Female,1,Divorced,1
50821,Female,1,Divorced,5
50822,Male,3,Single,3
50823,Male,3,Single,10
50824,Female,1,Divorced,2
50825,Male,1,Single,1
50826,Female,3,Married,2
50827,Male,3,Single,2
50828,Female,3,Single,2
50829,Male,1,Divorced,5
50830,Male,1,Divorced,1
50831,Female,1,Divorced,5
50832,Male,2,Single,7
50833,Male,1,Married,10
50834,Male,1,Married,1
50835,Male,1,Single,2
50836,Female,3,Married,1
50837,Male,1,Single,2
50838,Male,2,Married,2
50839,Female,3,Married,4
50840,Female,3,Single,2
50841,Male,1,Divorced,4
50842,Female,1,Divorced,8
50843,Male,1,Divorced,4
50844,Female,3,Divorced,3
50845,Male,1,Single,2
50846,Female,3,Divorced,9
50847,Female,1,Single,4
50848,Female,1,Single,2
50849,Female,1,Divorced,1
50850,Male,3,Single,4
50851,Male,3,Single,7
50852,Male,1,Divorced,5
50853,Female,1,Married,2
50854,Female,1,Married,6
50855,Male,1,Divorced,5
50856,Female,3,Single,8
50857,Female,3,Divorced,1
50858,Male,1,Married,2
50859,Female,1,Single,2
50860,Male,3,Divorced,2
50861,Male,1,Divorced,2
50862,Male,3,Divorced,4
50863,Male,3,Divorced,3
50864,Female,1,Married,4
50865,Male,1,Divorced,8
50866,Male,3,Divorced,7
50867,Male,3,Divorced,1
50868,Male,1,Divorced,4
50869,Male,3,Divorced,3
50870,Female,1,Divorced,3
50871,Female,1,Single,2
50872,Female,3,Divorced,2
50873,Female,1,Single,2
50874,Male,1,Single,1
50875,Female,2,Divorced,1
50876,Female,1,Divorced,10
50877,Female,1,Single,5
50878,Male,1,Single,3
50879,Male,1,Divorced,5
50880,Male,1,Single,1
50881,Male,2,Single,2
50882,Male,1,Single,4
50883,Female,1,Single,1
50884,Female,1,Single,7
50885,Female,1,Divorced,4
50886,Male,1,Married,3
50887,Female,3,Single,4
50888,Female,3,Single,2
50889,Female,3,Married,8
50890,Female,1,Single,4
50891,Male,1,Married,6
50892,Female,1,Single,2
50893,Male,1,Divorced,1
50894,Male,1,Single,2
50895,Female,3,Divorced,5
50896,Male,1,Divorced,8
50897,Male,3,Divorced,4
50898,Male,1,Single,1
50899,Female,1,Divorced,3
50900,Female,1,Divorced,4
50901,Female,3,Divorced,2
50902,Male,3,Divorced,5
50903,Female,1,Divorced,6
50904,Male,1,Divorced,3
50905,Male,1,Married,4
50906,Male,3,Married,2
50907,Male,3,Married,5
50908,Female,1,Single,3
50909,Female,1,Single,2
50910,Male,1,Married,3
50911,Female,2,Single,10
50912,Male,1,Divorced,7
50913,Male,1,Divorced,5
50914,Male,3,Married,5
50915,Female,2,Divorced,2
50916,Male,1,Married,3
50917,Male,3,Single,1
50918,Male,1,Single,4
50919,Male,1,Single,5
50920,Male,1,Divorced,3
50921,Male,1,Married,3
50922,Male,1,Single,2
50923,Male,3,Divorced,1
50924,Male,3,Single,4
50925,Male,3,Divorced,9
50926,Female,1,Single,2
50927,Female,3,Divorced,8
50928,Male,1,Married,2
50929,Male,1,Divorced,1
50930,Male,1,Married,4
50931,Male,1,Married,8
50932,Male,3,Divorced,4
50933,Female,3,Single,6
50934,Female,3,Single,1
50935,Male,3,Divorced,2
50936,Male,1,Single,3
50937,Female,3,Divorced,2
50938,Male,1,Single,6
50939,Male,3,Married,2
50940,Male,2,Married,1
50941,Male,1,Divorced,1
50942,Female,1,Divorced,9
50943,Female,3,Divorced,4
50944,Male,1,Single,8
50945,Male,1,Married,2
50946,Male,3,Single,1
50947,Female,1,Divorced,5
50948,Female,1,Divorced,1
50949,Male,1,Divorced,2
50950,Male,1,Single,3
50951,Male,1,Single,3
50952,Female,1,Married,4
50953,Male,1,Single,7
50954,Male,1,Divorced,4
50955,Female,1,Single,5
50956,Female,3,Divorced,9
50957,Female,1,Single,2
50958,Male,1,Single,1
50959,Male,1,Single,4
50960,Male,3,Divorced,2
50961,Female,1,Single,2
50962,Male,1,Single,2
50963,Male,3,Married,1
50964,Male,1,Married,5
50965,Male,1,Married,2
50966,Female,1,Married,4
50967,Male,1,Single,2
50968,Male,1,Married,5
50969,Male,1,Married,3
50970,Male,3,Married,1
50971,Male,1,Married,2
50972,Male,2,Single,2
50973,Male,1,Married,1
50974,Male,1,Married,4
50975,Male,1,Married,2
50976,Female,3,Married,1
50977,Female,1,Married,4
50978,Male,3,Single,4
50979,Female,3,Married,9
50980,Male,1,Married,7
50981,Male,3,Married,3
50982,Male,3,Married,2
50983,Male,2,Married,4
50984,Male,1,Single,2
50985,Male,3,Married,4
50986,Female,1,Married,2
50987,Female,1,Married,1
50988,Male,1,Married,5
50989,Male,1,Married,5
50990,Female,1,Married,9
50991,Male,1,Single,2
50992,Male,3,Married,2
50993,Male,1,Married,10
50994,Female,1,Married,2
50995,Male,3,Married,1
50996,Female,3,Single,3
50997,Female,3,Single,7
50998,Male,1,Single,2
50999,Female,1,Single,4
51000,Male,3,Married,3
51001,Male,1,Married,2
51002,Male,3,Married,5
51003,Male,1,Married,3
51004,Male,1,Married,4
51005,Male,1,Single,9
51006,Male,1,Married,2
