CustomerID,OrderCount,OrderAmountHikeFromlastYear,CouponUsed,DaySinceLastOrder,CashbackAmount
50215,1.0,18.0,0.0,7.0,162.14
50216,1.0,16.0,0.0,4.0,163.47
50217,2.0,14.0,1.0,,215.10000000000002
50218,4.0,14.0,2.0,10.0,171.43
50219,1.0,14.0,0.0,7.0,182.68
50220,1.0,13.0,0.0,13.0,180.95
50221,1.0,12.0,1.0,2.0,129.04
50222,1.0,15.0,1.0,2.0,160.32
50223,1.0,19.0,0.0,0.0,129.76
50224,,14.0,0.0,0.0,259.92
50225,1.0,14.0,1.0,2.0,146.49
50226,1.0,11.0,1.0,0.0,126.96000000000001
50227,1.0,13.0,0.0,7.0,123.69999999999999
50228,1.0,21.0,0.0,,225.04000000000002
50229,6.0,13.0,2.0,7.0,159.74
50230,2.0,12.0,1.0,2.0,147.36
50231,7.0,17.0,2.0,7.0,152.96
50232,1.0,23.0,0.0,0.0,167.81
50233,1.0,11.0,1.0,2.0,121.74000000000001
50234,1.0,15.0,1.0,0.0,166.53
50235,1.0,11.0,0.0,12.0,196.99
50236,1.0,11.0,1.0,2.0,167.55
50237,1.0,13.0,0.0,7.0,122.13
50238,2.0,24.0,0.0,2.0,126.1
50239,1.0,13.0,1.0,0.0,128.51
50240,1.0,20.0,1.0,3.0,134.52
50241,1.0,14.0,0.0,0.0,152.58
50242,7.0,18.0,7.0,7.0,193.55
50243,1.0,15.0,0.0,3.0,204.96
50244,1.0,12.0,1.0,0.0,163.8
50245,2.0,16.0,1.0,2.0,126.57
50246,1.0,15.0,0.0,0.0,127.16
50247,1.0,16.0,1.0,2.0,122.00999999999999
50248,1.0,19.0,1.0,0.0,165.4
50249,1.0,11.0,0.0,4.0,138.16
50250,1.0,16.0,1.0,7.0,152.53
50251,1.0,24.0,1.0,0.0,145.0
50252,1.0,11.0,0.0,7.0,149.36
50253,2.0,13.0,1.0,2.0,125.43
50254,1.0,13.0,1.0,4.0,153.04
50255,1.0,13.0,,2.0,266.59
50256,1.0,12.0,0.0,3.0,142.6
50257,1.0,18.0,1.0,0.0,124.75999999999999
50258,1.0,22.0,0.0,4.0,131.02
50259,1.0,13.0,1.0,2.0,122.44
50260,9.0,13.0,9.0,0.0,175.96
50261,1.0,23.0,1.0,0.0,122.85
50262,12.0,12.0,3.0,17.0,130.34
50263,1.0,12.0,0.0,3.0,157.15
50264,1.0,16.0,1.0,2.0,125.75999999999999
50265,1.0,12.0,0.0,1.0,141.97
50266,,11.0,0.0,9.0,243.36
50267,1.0,22.0,1.0,0.0,134.48
50268,1.0,,1.0,2.0,294.06
50269,1.0,15.0,1.0,2.0,165.38
50270,3.0,12.0,3.0,12.0,143.06
50271,1.0,20.0,0.0,2.0,122.58000000000001
50272,1.0,14.0,0.0,2.0,145.22
50273,1.0,11.0,0.0,3.0,144.87
50274,10.0,15.0,3.0,7.0,144.49
50275,3.0,12.0,0.0,2.0,122.18
50276,1.0,14.0,0.0,6.0,291.97
50277,,11.0,2.0,7.0,232.12
50278,4.0,11.0,3.0,4.0,165.77
50279,1.0,16.0,1.0,7.0,183.92
50280,1.0,12.0,0.0,8.0,145.58
50281,1.0,13.0,1.0,2.0,140.31
50282,1.0,14.0,0.0,4.0,179.69
50283,1.0,21.0,1.0,2.0,126.53999999999999
50284,1.0,13.0,,4.0,265.55
50285,1.0,11.0,1.0,2.0,145.56
50286,1.0,20.0,0.0,2.0,160.91
50287,11.0,,0.0,10.0,295.66
50288,1.0,14.0,0.0,8.0,148.1
50289,1.0,11.0,0.0,4.0,145.23
50290,1.0,16.0,1.0,4.0,132.02
50291,1.0,16.0,1.0,0.0,123.50999999999999
50292,1.0,23.0,1.0,0.0,117.02000000000001
50293,1.0,14.0,,12.0,280.41
50294,1.0,22.0,1.0,2.0,128.86
50295,1.0,15.0,0.0,4.0,120.97
50296,1.0,18.0,1.0,,219.35000000000002
50297,1.0,16.0,0.0,1.0,125.46000000000001
50298,1.0,12.0,1.0,0.0,125.63999999999999
50299,7.0,11.0,2.0,8.0,184.12
50300,,12.0,0.0,0.0,241.18
50301,15.0,15.0,,7.0,270.46
50302,6.0,14.0,5.0,7.0,125.63999999999999
50303,13.0,19.0,13.0,11.0,202.66
50304,1.0,13.0,0.0,4.0,150.7
50305,1.0,13.0,,1.0,278.61
50306,4.0,15.0,2.0,3.0,142.3
50307,1.0,11.0,1.0,0.0,137.8
50308,5.0,12.0,5.0,7.0,127.68
50309,1.0,19.0,1.0,2.0,190.71
50310,1.0,25.0,1.0,8.0,206.48000000000002
50311,,12.0,0.0,7.0,236.10000000000002
50312,1.0,13.0,0.0,3.0,134.08
50313,1.0,14.0,1.0,2.0,129.83
50314,1.0,12.0,0.0,0.0,176.32
50315,1.0,12.0,1.0,0.0,198.24
50316,1.0,15.0,1.0,2.0,199.5
50317,2.0,17.0,2.0,0.0,120.93
50318,9.0,14.0,1.0,7.0,199.8
50319,1.0,16.0,1.0,2.0,138.94
50320,6.0,14.0,4.0,7.0,140.51
50321,7.0,23.0,,7.0,268.35
50322,1.0,14.0,0.0,10.0,162.3
50323,6.0,11.0,3.0,9.0,147.17
50324,,15.0,4.0,13.0,232.37
50325,1.0,11.0,0.0,7.0,137.55
50326,1.0,13.0,1.0,5.0,165.82
50327,5.0,21.0,4.0,8.0,174.06
50328,3.0,19.0,3.0,7.0,148.05
50329,1.0,11.0,0.0,0.0,127.41
50330,1.0,12.0,0.0,2.0,142.62
50331,1.0,19.0,,5.0,261.84
50332,1.0,21.0,1.0,,215.57
50333,1.0,14.0,1.0,0.0,118.78
50334,1.0,15.0,1.0,,209.32
50335,1.0,17.0,0.0,7.0,168.11
50336,1.0,12.0,1.0,0.0,143.06
50337,1.0,16.0,0.0,3.0,148.59
50338,5.0,12.0,5.0,7.0,153.37
50339,1.0,18.0,1.0,0.0,123.4
50340,1.0,17.0,1.0,2.0,174.91
50341,1.0,11.0,1.0,2.0,205.27
50342,11.0,16.0,,8.0,265.95
50343,7.0,13.0,6.0,7.0,188.34
50344,6.0,12.0,2.0,9.0,155.77
50345,1.0,12.0,1.0,2.0,147.07
50346,2.0,13.0,0.0,1.0,124.0
50347,1.0,19.0,1.0,0.0,198.24
50348,4.0,12.0,3.0,3.0,164.47
50349,1.0,,0.0,9.0,295.02
50350,1.0,11.0,0.0,4.0,127.25
50351,1.0,20.0,1.0,4.0,162.72
50352,1.0,21.0,1.0,0.0,121.27000000000001
50353,10.0,11.0,,7.0,282.0
50354,1.0,11.0,1.0,6.0,120.96000000000001
50355,1.0,16.0,0.0,2.0,128.86
50356,1.0,18.0,1.0,0.0,120.33000000000001
50357,1.0,13.0,0.0,3.0,136.22
50358,1.0,17.0,0.0,2.0,142.33
50359,1.0,14.0,0.0,2.0,136.81
50360,5.0,22.0,3.0,7.0,154.6
50361,1.0,12.0,1.0,3.0,121.87
50362,1.0,11.0,0.0,0.0,196.02
50363,1.0,13.0,1.0,0.0,128.36
50364,2.0,13.0,2.0,2.0,140.89
50365,1.0,14.0,,0.0,266.27
50366,1.0,17.0,1.0,0.0,126.19
50367,4.0,13.0,2.0,7.0,156.79
50368,,11.0,0.0,2.0,254.01999999999998
50369,1.0,11.0,1.0,2.0,159.85
50370,1.0,18.0,1.0,6.0,125.78999999999999
50371,1.0,11.0,0.0,2.0,130.41
50372,1.0,11.0,1.0,2.0,134.47
50373,1.0,,1.0,1.0,295.13
50374,2.0,20.0,2.0,2.0,127.72999999999999
50375,1.0,12.0,1.0,2.0,171.04
50376,1.0,12.0,1.0,5.0,163.22
50377,1.0,20.0,1.0,0.0,120.83000000000001
50378,8.0,20.0,6.0,10.0,183.81
50379,8.0,12.0,6.0,8.0,126.91
50380,1.0,14.0,0.0,0.0,142.86
50381,1.0,13.0,0.0,2.0,126.59
50382,7.0,15.0,6.0,8.0,194.34
50383,1.0,14.0,0.0,2.0,155.61
50384,11.0,13.0,11.0,8.0,166.46
50385,4.0,23.0,4.0,7.0,177.25
50386,7.0,15.0,3.0,1.0,207.25
50387,1.0,11.0,1.0,2.0,188.47
50388,1.0,13.0,0.0,1.0,120.44999999999999
50389,1.0,11.0,0.0,1.0,110.09
50390,9.0,11.0,9.0,7.0,133.48
50391,1.0,18.0,1.0,0.0,112.81
50392,1.0,16.0,0.0,2.0,128.19
50393,1.0,22.0,0.0,2.0,148.51
50394,1.0,20.0,1.0,5.0,140.28
50395,2.0,18.0,2.0,8.0,127.19999999999999
50396,2.0,12.0,2.0,2.0,181.2
50397,1.0,20.0,1.0,4.0,146.47
50398,1.0,17.0,1.0,0.0,146.8
50399,3.0,11.0,3.0,8.0,132.21
50400,7.0,14.0,4.0,7.0,186.21
50401,2.0,14.0,1.0,0.0,145.77
50402,11.0,11.0,2.0,10.0,145.53
50403,1.0,12.0,0.0,8.0,153.96
50404,1.0,14.0,1.0,3.0,167.96
50405,1.0,13.0,1.0,8.0,176.25
50406,1.0,11.0,1.0,7.0,174.12
50407,7.0,15.0,3.0,,211.58999999999997
50408,1.0,12.0,0.0,7.0,149.6
50409,1.0,21.0,0.0,12.0,204.75
50410,,19.0,0.0,3.0,248.14
50411,12.0,15.0,,6.0,291.41
50412,2.0,14.0,1.0,2.0,154.05
50413,1.0,21.0,1.0,7.0,187.93
50414,2.0,12.0,,10.0,291.89
50415,2.0,15.0,1.0,2.0,138.75
50416,3.0,13.0,1.0,7.0,122.16
50417,1.0,14.0,0.0,,217.13
50418,1.0,14.0,0.0,0.0,178.61
50419,1.0,14.0,0.0,4.0,137.08
50420,,12.0,7.0,13.0,237.7
50421,7.0,23.0,4.0,7.0,153.04
50422,1.0,11.0,0.0,0.0,126.41999999999999
50423,2.0,12.0,2.0,2.0,127.59
50424,2.0,18.0,0.0,2.0,168.04
50425,4.0,11.0,1.0,3.0,161.42
50426,1.0,14.0,0.0,2.0,125.0
50427,3.0,15.0,3.0,6.0,163.89
50428,1.0,11.0,0.0,,211.02999999999997
50429,2.0,20.0,2.0,3.0,123.41999999999999
50430,1.0,19.0,1.0,7.0,168.11
50431,2.0,14.0,0.0,2.0,122.97
50432,2.0,17.0,1.0,2.0,124.5
50433,1.0,11.0,0.0,0.0,150.93
50434,4.0,15.0,2.0,7.0,153.09
50435,1.0,13.0,0.0,1.0,130.57
50436,1.0,14.0,1.0,0.0,151.21
50437,1.0,11.0,,16.0,268.56
50438,7.0,13.0,5.0,8.0,126.86000000000001
50439,1.0,23.0,0.0,4.0,161.8
50440,3.0,13.0,0.0,1.0,166.32
50441,1.0,18.0,1.0,2.0,135.05
50442,1.0,12.0,1.0,3.0,163.97
50443,1.0,22.0,0.0,4.0,162.74
50444,1.0,,1.0,4.0,298.59
50445,1.0,15.0,0.0,9.0,175.87
50446,1.0,18.0,1.0,2.0,142.58
50447,2.0,14.0,2.0,0.0,143.64
50448,1.0,12.0,1.0,1.0,143.35
50449,1.0,17.0,1.0,2.0,153.26
50450,1.0,16.0,0.0,3.0,132.8
50451,1.0,11.0,0.0,4.0,154.85
50452,1.0,19.0,0.0,1.0,143.42
50453,4.0,13.0,3.0,3.0,127.82
50454,4.0,12.0,4.0,12.0,159.8
50455,1.0,11.0,1.0,3.0,143.81
50456,1.0,16.0,0.0,2.0,125.72
50457,1.0,21.0,1.0,2.0,138.33
50458,3.0,24.0,0.0,7.0,142.44
50459,1.0,17.0,1.0,2.0,165.0
50460,14.0,13.0,,9.0,284.3
50461,1.0,21.0,1.0,0.0,116.00999999999999
50462,1.0,11.0,1.0,0.0,126.94
50463,1.0,20.0,1.0,4.0,131.49
50464,1.0,16.0,,3.0,276.39
50465,1.0,11.0,0.0,0.0,123.19
50466,3.0,11.0,0.0,,216.91000000000003
50467,1.0,15.0,1.0,2.0,153.24
50468,3.0,11.0,,0.0,267.52
50469,1.0,15.0,0.0,5.0,152.28
50470,1.0,24.0,1.0,7.0,127.0
50471,13.0,,5.0,8.0,292.46
50472,2.0,13.0,0.0,2.0,125.06
50473,1.0,13.0,0.0,2.0,160.62
50474,2.0,17.0,0.0,1.0,143.82
50475,1.0,13.0,1.0,4.0,121.43
50476,6.0,12.0,1.0,8.0,161.62
50477,1.0,14.0,1.0,0.0,150.94
50478,1.0,24.0,1.0,0.0,168.77
50479,1.0,14.0,1.0,0.0,122.74000000000001
50480,7.0,13.0,2.0,8.0,144.34
50481,1.0,15.0,1.0,2.0,162.88
50482,1.0,16.0,1.0,3.0,125.53
50483,7.0,18.0,0.0,7.0,176.54
50484,7.0,16.0,0.0,3.0,151.6
50485,1.0,24.0,,0.0,271.59
50486,1.0,16.0,0.0,,228.07999999999998
50487,1.0,21.0,0.0,6.0,202.21
50488,7.0,20.0,7.0,5.0,147.79
50489,1.0,19.0,1.0,2.0,137.37
50490,1.0,14.0,0.0,7.0,123.66
50491,1.0,11.0,1.0,0.0,117.06
50492,4.0,14.0,,17.0,263.07
50493,2.0,12.0,1.0,3.0,159.33
50494,1.0,13.0,1.0,1.0,134.24
50495,1.0,22.0,0.0,8.0,140.37
50496,1.0,11.0,1.0,1.0,125.59
50497,4.0,14.0,2.0,11.0,162.01
50498,1.0,11.0,0.0,3.0,144.03
50499,1.0,12.0,0.0,3.0,137.61
50500,1.0,18.0,0.0,,209.33999999999997
50501,1.0,12.0,1.0,2.0,207.61
50502,1.0,12.0,1.0,3.0,151.75
50503,,22.0,0.0,0.0,238.26
50504,1.0,19.0,1.0,0.0,163.34
50505,1.0,13.0,0.0,4.0,149.36
50506,2.0,22.0,2.0,2.0,147.75
50507,1.0,24.0,1.0,2.0,128.18
50508,2.0,14.0,0.0,2.0,125.15
50509,1.0,21.0,1.0,3.0,123.41999999999999
50510,1.0,18.0,1.0,3.0,141.94
50511,5.0,20.0,2.0,15.0,206.85000000000002
50512,7.0,19.0,0.0,8.0,120.22
50513,1.0,12.0,0.0,2.0,123.13999999999999
50514,1.0,12.0,1.0,3.0,142.56
50515,1.0,16.0,1.0,2.0,135.8
50516,3.0,17.0,0.0,4.0,131.62
50517,5.0,14.0,2.0,3.0,165.24
50518,1.0,19.0,0.0,2.0,128.99
50519,1.0,13.0,0.0,3.0,152.31
50520,1.0,19.0,1.0,2.0,123.56
50521,1.0,19.0,0.0,2.0,128.0
50522,2.0,14.0,0.0,,218.36
50523,4.0,16.0,3.0,8.0,209.02999999999997
50524,1.0,15.0,1.0,0.0,129.73
50525,,18.0,2.0,8.0,242.75
50526,2.0,13.0,1.0,2.0,155.62
50527,7.0,22.0,5.0,7.0,145.37
50528,1.0,13.0,0.0,9.0,176.42
50529,14.0,11.0,,7.0,279.24
50530,1.0,11.0,0.0,4.0,152.04
50531,1.0,11.0,0.0,3.0,122.77000000000001
50532,1.0,24.0,1.0,1.0,127.94999999999999
50533,1.0,14.0,1.0,3.0,125.32
50534,7.0,13.0,2.0,1.0,125.59
50535,1.0,14.0,1.0,2.0,149.08
50536,1.0,14.0,0.0,0.0,123.80000000000001
50537,1.0,21.0,1.0,0.0,147.65
50538,1.0,13.0,0.0,2.0,120.44
50539,1.0,19.0,1.0,0.0,126.93
50540,4.0,17.0,4.0,11.0,165.86
50541,1.0,18.0,1.0,2.0,132.94
50542,1.0,19.0,1.0,2.0,141.71
50543,1.0,13.0,0.0,0.0,127.78
50544,2.0,18.0,2.0,2.0,123.77000000000001
50545,2.0,21.0,1.0,2.0,124.03999999999999
50546,1.0,19.0,1.0,0.0,123.18
50547,1.0,14.0,1.0,0.0,120.08000000000001
50548,1.0,17.0,0.0,3.0,162.44
50549,1.0,11.0,0.0,2.0,127.99000000000001
50550,1.0,13.0,1.0,4.0,205.52
50551,5.0,15.0,3.0,2.0,123.28999999999999
50552,1.0,25.0,0.0,7.0,140.14
50553,1.0,11.0,0.0,7.0,174.03
50554,1.0,17.0,0.0,0.0,122.59
50555,1.0,13.0,1.0,0.0,169.32
50556,1.0,18.0,0.0,1.0,146.78
50557,,13.0,3.0,11.0,235.82
50558,1.0,20.0,1.0,2.0,123.32
50559,1.0,18.0,0.0,0.0,124.13
50560,1.0,12.0,1.0,0.0,197.05
50561,1.0,12.0,1.0,7.0,142.94
50562,2.0,13.0,1.0,17.0,147.21
50563,3.0,21.0,2.0,9.0,125.19
50564,1.0,13.0,0.0,0.0,121.21000000000001
50565,1.0,19.0,1.0,0.0,129.73
50566,8.0,11.0,0.0,5.0,158.55
50567,1.0,14.0,0.0,0.0,136.17
50568,6.0,12.0,6.0,3.0,167.25
50569,3.0,11.0,3.0,7.0,203.25
50570,1.0,14.0,0.0,4.0,169.49
50571,11.0,11.0,1.0,7.0,206.08999999999997
50572,1.0,12.0,1.0,8.0,144.47
50573,1.0,15.0,0.0,2.0,121.57
50574,1.0,16.0,1.0,0.0,146.01
50575,7.0,15.0,,8.0,270.99
50576,1.0,24.0,1.0,0.0,124.78999999999999
50577,,13.0,2.0,2.0,248.51999999999998
50578,7.0,11.0,4.0,7.0,172.64
50579,1.0,13.0,0.0,3.0,156.66
50580,1.0,13.0,0.0,8.0,178.23
50581,1.0,18.0,1.0,7.0,178.8
50582,,16.0,1.0,0.0,231.94
50583,2.0,19.0,0.0,7.0,150.67
50584,1.0,13.0,1.0,7.0,150.79
50585,1.0,22.0,1.0,2.0,123.21000000000001
50586,6.0,11.0,,0.0,274.44
50587,1.0,20.0,1.0,0.0,124.03999999999999
50588,1.0,18.0,1.0,2.0,134.52
50589,1.0,14.0,0.0,2.0,122.69999999999999
50590,1.0,22.0,,3.0,273.99
50591,1.0,13.0,0.0,2.0,154.88
50592,1.0,,1.0,11.0,294.19
50593,2.0,14.0,2.0,2.0,128.11
50594,1.0,15.0,1.0,8.0,136.33
50595,1.0,17.0,1.0,7.0,141.63
50596,1.0,11.0,0.0,1.0,121.32
50597,,18.0,0.0,5.0,239.73000000000002
50598,1.0,17.0,0.0,2.0,126.84
50599,1.0,13.0,0.0,7.0,208.45
50600,3.0,15.0,2.0,2.0,143.77
